,AUROC,AUROC,AUPRC,AUPRC,F1,F1,Precision,Precision,Recall,Recall,FalseAlarmRate,FalseAlarmRate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,,,,,
AE only,0.9441,0.0111,0.9499,0.0142,0.907,0.0151,0.8923,0.0028,0.9226,0.0285,0.1471,0.0022
CLAF++ + Symbolic,0.9632,0.0014,0.9646,0.003,0.8421,0.009,0.9275,0.0094,0.7712,0.0126,0.0797,0.011
CNN,0.9352,0.0136,0.9425,0.0113,0.8506,0.0117,0.9099,0.0076,0.7989,0.0233,0.1048,0.0117
Ensemble (no meta),0.9622,0.0029,0.964,0.0046,0.9333,0.014,0.9072,0.0043,0.9613,0.0279,0.13,0.007
Generative branch,0.9414,0.0088,0.9428,0.0152,0.9076,0.011,0.8963,0.0049,0.9195,0.0218,0.1406,0.0079
LSTM,0.8967,0.014,0.9222,0.0073,0.8118,0.0046,0.9419,0.0126,0.7134,0.008,0.0584,0.0137
Meta-Learner (CLAF++),0.9632,0.0014,0.9646,0.003,0.8421,0.009,0.9275,0.0094,0.7712,0.0126,0.0797,0.011
RF/XGB,0.9675,0.0019,0.971,0.0016,0.9409,0.0024,0.9085,0.0011,0.9756,0.0046,0.1299,0.0017
