syn_flood_consensus,service_sweep_dispersion,low_entropy_repetition,auth_compromise_pattern,y_true,neural_meta,symbolic_raw,clafpp_final
2.0611535e-09,0.7362692,0.00023557316,0.5,1,0.9997197,0.45302117,0.9997197
2.0611535e-09,0.78017163,0.00018961073,0.5,1,0.99973094,0.4723113,0.99973094
2.0611535e-09,0.0006273788,0.6451,0.5,0,0.00080198044,0.2729097,0.00080198044
2.0611535e-09,0.3303359,0.5184383,0.5,1,0.998988,0.3897111,0.998988
2.0611535e-09,0.08522892,0.00090804574,0.5,1,0.049084455,0.16696133,0.049084455
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.00024573575,0.15213713,0.00024573575
2.0611535e-09,0.3303359,2.6641996e-05,0.5,0,0.0017116073,0.27451903,0.0017116073
2.0611535e-09,0.0006273788,0.10157403,1.0,1,0.0022356967,0.2814285,0.0022356967
2.0611535e-09,0.00081895175,0.10157403,0.5,0,0.00029715046,0.15222134,0.00029715046
2.0611535e-09,0.0006273788,0.00031735262,1.0,1,0.0013381086,0.25892904,0.0013381086
2.0611535e-09,0.0006273788,0.0050303107,0.5,1,0.009625394,0.13068491,0.009625394
2.0611535e-09,0.3303359,0.0056955796,0.5,0,0.0009948631,0.27577865,0.0009948631
2.0611535e-09,0.786955,0.00018589152,0.5,1,0.99972814,0.47529256,0.99972814
1.0,0.0006273788,0.010839954,0.5,1,0.99873894,0.56272227,0.99873894
2.0611535e-09,0.0006273788,0.0011240875,0.5,0,0.0009353175,0.12981693,0.0009353175
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.00026008906,0.15213713,0.00026008906
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.0003090986,0.15213713,0.0003090986
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.00027604218,0.15213713,0.00027604218
2.0611535e-09,0.0006273788,0.10250372,0.5,0,0.06554302,0.15234369,0.06554302
2.0611535e-09,0.67845213,0.00027342304,0.5,1,0.99973077,0.42761216,0.99973077
2.0611535e-09,0.48667,0.00030581537,0.5,1,0.99959415,0.34330836,0.99959415
1.0,0.0006273788,0.001876976,0.5,1,0.9977067,0.56073064,0.9977067
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.00030707355,0.15213713,0.00030707355
2.0611535e-09,0.001305322,0.10157403,0.5,0,0.0002688528,0.15243517,0.0002688528
2.0611535e-09,0.71231765,0.00022448057,0.5,1,0.99963164,0.44248915,0.99963164
2.0611535e-09,0.72044444,0.00025324785,0.5,1,0.9995652,0.44606826,0.9995652
2.0611535e-09,0.001305322,0.10157403,0.5,0,0.00026838217,0.15243517,0.00026838217
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.0003086627,0.15213713,0.0003086627
2.0611535e-09,0.0006273788,0.53046954,0.5,1,0.9989369,0.24743855,0.9989369
2.0611535e-09,0.0006273788,0.10387342,0.5,0,0.0078056287,0.15264805,0.0078056287
2.0611535e-09,0.0006273788,0.98782176,0.5,1,0.91533613,0.34906316,0.91533613
2.0611535e-09,0.3303359,0.0017893892,0.5,0,0.00063907815,0.2749107,0.00063907815
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.00027541985,0.15213713,0.00027541985
2.0611535e-09,0.98950875,2.0261643e-05,0.5,0,0.9989492,0.56430215,0.9989492
2.0611535e-09,0.99999666,3.050195e-06,0.5,1,0.99972886,0.568909,0.99972886
2.0611535e-09,0.99999976,0.00087580644,0.5,1,0.5985822,0.56910425,0.5985822
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.0003073433,0.15213713,0.0003073433
2.0611535e-09,0.0006273788,0.00032509814,0.5,1,0.037673265,0.1296394,0.037673265
2.0611535e-09,0.0006273788,0.095529556,0.5,0,0.00050522486,0.15079403,0.00050522486
2.0611535e-09,0.0006273788,0.8029412,0.5,0,0.0007889518,0.3079823,0.0007889518
1.0,0.7040516,0.00022448057,0.5,1,0.9997001,0.86960167,0.9997001
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.00027714227,0.15213713,0.00027714227
2.0611535e-09,0.0010689604,0.10157403,0.5,0,0.0002960773,0.15233125,0.0002960773
2.0611535e-09,0.00081895175,0.10157403,0.5,0,0.00031952138,0.15222134,0.00031952138
2.0611535e-09,0.7515071,0.00022448057,0.5,1,0.99970216,0.45971757,0.99970216
2.0611535e-09,0.0012212407,0.10157403,0.5,0,0.0002940187,0.1523982,0.0002940187
1.0,0.7661445,0.00020471742,0.5,1,0.99972653,0.8968945,0.99972653
2.0611535e-09,0.0010689604,0.12151418,1.0,1,0.98119813,0.28605336,0.98119813
1.0,0.22443604,0.0016784454,0.5,1,0.9992554,0.659077,0.9992554
2.0611535e-09,0.0006273788,0.10247845,0.5,0,0.17046057,0.15233807,0.17046057
2.0611535e-09,0.0013951841,0.010273194,0.5,0,0.0005916696,0.13218743,0.0005916696
2.0611535e-09,0.0010000889,0.068789795,0.5,0,0.00030005522,0.14501625,0.00030005522
2.0611535e-09,0.7515071,0.00020971448,0.5,1,0.9997226,0.45971432,0.9997226
2.0611535e-09,0.81856674,0.00018224509,0.5,1,0.9997193,0.48918885,0.9997193
2.0611535e-09,0.0006273788,0.00053847657,1.0,1,0.00386728,0.2589782,0.00386728
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.00026897862,0.15213713,0.00026897862
2.0611535e-09,0.7515071,0.00022448057,0.5,1,0.9996451,0.45971757,0.9996451
2.0611535e-09,0.0006273788,0.00029930117,0.5,1,0.0014848685,0.12963367,0.0014848685
2.0611535e-09,0.0006273788,0.038115166,0.5,1,0.0020600695,0.13803643,0.0020600695
2.0611535e-09,0.0006273788,0.10157403,0.5,0,0.00030828186,0.15213713,0.00030828186
2.0611535e-09,0.0006273788,0.082227655,0.5,1,0.001496376,0.14783832,0.001496376
2.0611535e-09,0.0006273788,0.08834097,0.5,1,0.10421986,0.14919671,0.10421986
2.0611535e-09,0.0006273788,0.02492172,0.5,0,0.00041605058,0.13510482,0.00041605058
2.0611535e-09,0.0023759017,0.10157403,0.5,0,0.00030642096,0.1529058,0.00030642096
2.0611535e-09,0.99999666,3.636228e-06,0.5,1,0.999639,0.5689091,0.999639
