,AUROC,AUROC,AUPRC,AUPRC,F1,F1,Precision,Precision,Recall,Recall,FalseAlarmRate,FalseAlarmRate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,,,,,
AE only,0.8419,0.0166,0.7482,0.027,0.7073,0.0531,0.8695,0.0191,0.5992,0.075,0.0336,0.007
CLAF++ + Symbolic,0.9997,0.0003,0.9996,0.0005,0.9949,0.0007,0.9972,0.001,0.9926,0.0009,0.001,0.0004
CNN,0.9998,0.0001,0.9996,0.0002,0.9923,0.0013,0.9937,0.0034,0.9908,0.0017,0.0023,0.0013
Ensemble (no meta),0.9999,0.0,0.9997,0.0001,0.9935,0.0005,0.9967,0.002,0.9903,0.0013,0.0012,0.0008
Generative branch,0.8617,0.0218,0.7919,0.0327,0.7338,0.0522,0.8701,0.0253,0.6372,0.0731,0.0355,0.0084
LSTM,0.9996,0.0001,0.9991,0.0003,0.991,0.0015,0.9917,0.0043,0.9903,0.0017,0.0031,0.0016
Meta-Learner (CLAF++),0.9999,0.0001,0.9998,0.0001,0.9951,0.0007,0.9977,0.0014,0.9925,0.001,0.0009,0.0005
RF/XGB,1.0,0.0,0.9999,0.0,0.9956,0.0006,0.9991,0.0003,0.9922,0.0012,0.0003,0.0001
