Model,Threshold,AUROC,AUPRC,F1,DetectionRate,FalseAlarmRate,Precision,Recall,seed
AE only,0.2503,0.871059,0.780971,0.761386,0.669173,0.032991,0.883074,0.669173,42
Generative branch,0.1168,0.898546,0.838974,0.781395,0.721952,0.046879,0.851504,0.721952,42
LSTM,0.9,0.999475,0.998636,0.989137,0.993366,0.005654,0.984944,0.993366,42
CNN,0.7576,0.999772,0.999379,0.991147,0.99027,0.002964,0.992025,0.99027,42
RF/XGB,0.5885,0.999964,0.999869,0.99467,0.990417,0.000384,0.998959,0.990417,42
Ensemble (no meta),0.6063,0.999866,0.999639,0.993422,0.990712,0.001427,0.996146,0.990712,42
Meta-Learner (CLAF++),0.5618,0.999721,0.99959,0.99387,0.991891,0.001537,0.995856,0.991891,42
CLAF++ + Symbolic,0.5618,0.999721,0.99959,0.99387,0.991891,0.001537,0.995856,0.991891,42
AE only,0.3838,0.836812,0.707404,0.63546,0.504349,0.030905,0.858685,0.504349,7
Generative branch,0.1613,0.855734,0.747348,0.651171,0.526611,0.033815,0.852913,0.526611,7
LSTM,0.6686,0.999587,0.999144,0.990339,0.989828,0.003403,0.99085,0.989828,7
CNN,0.6597,0.999878,0.999683,0.993116,0.988943,0.000988,0.997324,0.988943,7
RF/XGB,0.6241,0.999964,0.999884,0.995858,0.992481,0.000274,0.999258,0.992481,7
Ensemble (no meta),0.6419,0.999925,0.999807,0.993479,0.988206,0.000439,0.998808,0.988206,7
Meta-Learner (CLAF++),0.7131,0.99993,0.99983,0.995127,0.993513,0.001208,0.996746,0.993513,7
CLAF++ + Symbolic,0.7131,0.99993,0.99983,0.995127,0.993513,0.001208,0.996746,0.993513,7
AE only,0.3571,0.838656,0.742799,0.689643,0.57821,0.036724,0.85428,0.57821,123
Generative branch,0.1613,0.859222,0.787477,0.736787,0.626861,0.027831,0.893465,0.626861,123
LSTM,0.8466,0.999631,0.999241,0.992388,0.989828,0.001866,0.994961,0.989828,123
CNN,0.7042,0.999923,0.999788,0.99416,0.991302,0.001098,0.997034,0.991302,123
RF/XGB,0.6152,0.99997,0.999892,0.995712,0.992776,0.000494,0.998665,0.992776,123
Ensemble (no meta),0.6686,0.999876,0.999726,0.994156,0.990712,0.000878,0.997625,0.990712,123
Meta-Learner (CLAF++),0.8911,0.999932,0.999854,0.995045,0.991744,0.000604,0.998367,0.991744,123
CLAF++ + Symbolic,0.8911,0.999932,0.999854,0.995045,0.991744,0.000604,0.998367,0.991744,123
AE only,0.3749,0.831143,0.74936,0.691423,0.56273,0.024208,0.89643,0.56273,1
Generative branch,0.1524,0.854611,0.797709,0.724517,0.630842,0.04117,0.850865,0.630842,1
LSTM,0.6419,0.999739,0.999422,0.990551,0.98909,0.002964,0.992015,0.98909,1
CNN,0.4728,0.999777,0.99935,0.991393,0.993366,0.003952,0.989427,0.993366,1
RF/XGB,0.6241,0.999957,0.999855,0.995486,0.991597,0.00022,0.999406,0.991597,1
Ensemble (no meta),0.5351,0.999868,0.999703,0.992696,0.991891,0.002415,0.993503,0.991891,1
Meta-Learner (CLAF++),0.8288,0.999898,0.999788,0.995486,0.991597,0.00022,0.999406,0.991597,1
CLAF++ + Symbolic,0.9,0.999155,0.998802,0.994605,0.992039,0.001043,0.997184,0.992039,1
AE only,0.3393,0.83198,0.760403,0.758655,0.681704,0.042982,0.855188,0.681704,99
Generative branch,0.1613,0.840345,0.78822,0.775153,0.679788,0.027612,0.901643,0.679788,99
LSTM,0.8822,0.999623,0.999266,0.992679,0.989533,0.001537,0.995846,0.989533,99
CNN,0.5974,0.999874,0.999667,0.991511,0.990122,0.002635,0.992904,0.990122,99
RF/XGB,0.6063,0.999975,0.999911,0.996378,0.993513,0.000274,0.999259,0.993513,99
Ensemble (no meta),0.6152,0.99994,0.999842,0.993712,0.990122,0.000988,0.997327,0.990122,99
Meta-Learner (CLAF++),0.7932,0.999936,0.999844,0.995789,0.993661,0.000769,0.997927,0.993661,99
CLAF++ + Symbolic,0.7932,0.999936,0.999844,0.995789,0.993661,0.000769,0.997927,0.993661,99
