Model,Threshold,AUROC,AUPRC,F1,DetectionRate,FalseAlarmRate,Precision,Recall,seed
AE only,0.2147,0.928149,0.926103,0.910603,0.929868,0.148594,0.89212,0.929868,42
Generative branch,0.1168,0.929713,0.917876,0.898156,0.893712,0.127381,0.902644,0.893712,42
LSTM,0.01,0.901453,0.925607,0.812397,0.709811,0.049737,0.949646,0.709811,42
CNN,0.01,0.91324,0.925643,0.855657,0.814385,0.117805,0.901337,0.814385,42
RF/XGB,0.01,0.967409,0.97078,0.943212,0.979116,0.128205,0.909848,0.979116,42
Ensemble (no meta),0.0456,0.960432,0.956699,0.939188,0.978415,0.138915,0.902985,0.978415,42
Meta-Learner (CLAF++),0.01,0.962431,0.96361,0.841855,0.77363,0.084955,0.923277,0.77363,42
CLAF++ + Symbolic,0.01,0.962431,0.96361,0.841855,0.77363,0.084955,0.923277,0.77363,42
AE only,0.2147,0.94052,0.948816,0.896762,0.904309,0.148697,0.88934,0.904309,7
Generative branch,0.1257,0.937133,0.940741,0.897187,0.903374,0.145917,0.891084,0.903374,7
LSTM,0.01,0.877357,0.91374,0.812566,0.716512,0.062198,0.938361,0.716512,7
CNN,0.01,0.933743,0.940467,0.865162,0.827476,0.112862,0.906445,0.827476,7
RF/XGB,0.01,0.967684,0.971516,0.938111,0.969142,0.128205,0.909005,0.969142,7
Ensemble (no meta),0.0545,0.95885,0.964227,0.908259,0.912257,0.127587,0.904295,0.912257,7
Meta-Learner (CLAF++),0.01,0.961379,0.963888,0.847777,0.785942,0.090104,0.920172,0.785942,7
CLAF++ + Symbolic,0.01,0.961379,0.963888,0.847777,0.785942,0.090104,0.920172,0.785942,7
AE only,0.2058,0.951577,0.956421,0.925289,0.957843,0.148697,0.894875,0.957843,123
Generative branch,0.1079,0.94797,0.95119,0.922003,0.946466,0.140871,0.898772,0.946466,123
LSTM,0.01,0.888124,0.915684,0.805139,0.713006,0.07682,0.924616,0.713006,123
CNN,0.01,0.936429,0.940324,0.842553,0.787501,0.108125,0.90588,0.787501,123
RF/XGB,0.01,0.969693,0.972269,0.93955,0.974363,0.131809,0.907139,0.974363,123
Ensemble (no meta),0.0456,0.961424,0.963675,0.939102,0.97335,0.131603,0.907183,0.97335,123
Meta-Learner (CLAF++),0.01,0.964121,0.967371,0.830673,0.756331,0.08547,0.921222,0.756331,123
CLAF++ + Symbolic,0.01,0.964121,0.967371,0.830673,0.756331,0.08547,0.921222,0.756331,123
AE only,0.2147,0.957019,0.962885,0.915235,0.936024,0.144578,0.895349,0.936024,1
Generative branch,0.1168,0.952059,0.95717,0.916015,0.935323,0.14118,0.897488,0.935323,1
LSTM,0.01,0.913218,0.931037,0.817998,0.724616,0.062198,0.939008,0.724616,1
CNN,0.01,0.945268,0.952433,0.835369,0.767474,0.092472,0.916442,0.767474,1
RF/XGB,0.01,0.964417,0.968302,0.939806,0.974519,0.131294,0.907481,0.974519,1
Ensemble (no meta),0.0456,0.965193,0.96654,0.941115,0.977636,0.132118,0.907224,0.977636,1
Meta-Learner (CLAF++),0.01,0.964802,0.96769,0.836649,0.760305,0.075584,0.930035,0.760305,1
CLAF++ + Symbolic,0.01,0.964802,0.96769,0.836649,0.760305,0.075584,0.930035,0.760305,1
AE only,0.2681,0.943394,0.955303,0.887239,0.88475,0.144887,0.889742,0.88475,99
Generative branch,0.1435,0.940183,0.9472,0.904841,0.918413,0.147462,0.891663,0.918413,99
LSTM,0.01,0.90332,0.924761,0.810964,0.703187,0.040984,0.957758,0.703187,99
CNN,0.01,0.947566,0.953423,0.854282,0.797865,0.092575,0.919285,0.797865,99
RF/XGB,0.01,0.968256,0.972131,0.943597,0.980987,0.129853,0.908953,0.980987,99
Ensemble (no meta),0.0545,0.965349,0.968825,0.938898,0.96509,0.119864,0.91409,0.96509,99
Meta-Learner (CLAF++),0.01,0.963122,0.960494,0.853523,0.779631,0.062403,0.942889,0.779631,99
CLAF++ + Symbolic,0.01,0.963122,0.960494,0.853523,0.779631,0.062403,0.942889,0.779631,99
